id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1NMWcLMZvYqTvbFUMxCZDm,0.903,0.695,-13.041,0.214,0.0157,0.141,0.105,0.788,109.118,226267
4fxOCTCTQtsrbK6y1K9JH4,0.799,0.87,-4.804,0.316,0.0095,0.0,0.18,0.883,98.528,314707
5Be8Gm2eCrDYVIRaFW3g7I,0.566,0.816,-4.741,0.32,0.024,0.0,0.0804,0.578,87.353,300960
2Kbxfq8wkjMCno1QJe4yyw,0.74,0.574,-6.938,0.245,0.411,0.0,0.262,0.33,149.762,140747
3uulVrxiI7iLTjOBZsaiF8,0.636,0.901,-7.094,0.118,0.119,0.0,0.391,0.836,162.994,165908
0zvxfbfR99UukKPcyCD1u2,0.716,0.722,-4.63,0.16,0.13,0.0,0.0531,0.477,90.997,283173
50WeoO0YPlzKXurQ4SBYEb,0.892,0.514,-12.829,0.12,0.00503,0.453,0.139,0.295,98.461,240933
21MwpLzTywVvz5UYwgT5E6,0.716,0.832,-4.407,0.241,0.0942,0.0,0.208,0.664,86.464,241440
0yp6ui2sosUjCUro1rRk2Q,0.676,0.889,-5.483,0.148,0.0139,0.0,0.329,0.617,95.987,195453
4yEBMoqgPhCmIQsyLZ0IA4,0.545,0.796,-2.762,0.406,0.0467,0.000287,0.165,0.629,166.122,231987
2WAIDftGsD29VZINFp3XCJ,0.921,0.325,-17.165,0.321,0.0425,1.2e-06,0.125,0.599,103.022,300920
7geUEozMiPd6lQXWca541m,0.935,0.519,-6.482,0.31,0.156,0.0,0.425,0.884,96.97,212293
1n6pgjMma0nsl4jyMzmjxQ,0.783,0.633,-6.983,0.291,0.0969,0.000994,0.154,0.913,100.428,174800
5ltdcgEflWut0osW0ZzLhM,0.612,0.659,-6.995,0.406,0.0137,0.0,0.417,0.393,99.137,136093
4ykIW49ZO7UnmKbancsDIV,0.775,0.837,-4.965,0.39,0.0383,0.0,0.315,0.807,95.86,244600
2mjbuPHUTkOS1dY0UVkfoh,0.589,0.884,-4.918,0.324,0.0451,0.0,0.0904,0.439,90.036,382827
7i4CSDexcaLSQaWOSZKz0v,0.816,0.647,-9.273,0.286,0.00936,0.000299,0.601,0.888,90.397,296040
6JI5wNWYdBw68GZjOMmgK5,0.711,0.62,-10.174,0.212,0.0175,0.0,0.134,0.805,179.817,217627
4vPIIhg8qD4GKhxhiX5iLy,0.904,0.523,-10.071,0.3,0.0941,0.0,0.288,0.641,91.473,148000
6gPuCVSyJpcjGbv8xlpyXy,0.613,0.777,-5.477,0.312,0.0544,6.81e-05,0.232,0.565,100.907,169160
464TUmDMOV0e1kax8Bph40,0.828,0.651,-6.96,0.154,0.145,0.0,0.0771,0.738,105.969,203160
4fmzMxr135mcvD6AGIs1mO,0.756,0.766,-7.448,0.112,0.0444,0.0,0.132,0.615,94.999,176947
2xTft6GEZeTyWNpdX94rkf,0.873,0.719,-5.948,0.248,0.03,0.0,0.333,0.858,93.281,307773
2wdHKp5CBgJ8mlO7Cq84Xd,0.775,0.535,-7.125,0.113,0.349,0.0,0.14,0.315,84.122,280000
47lnB0fWXHnI5CBMx0OXB3,0.792,0.876,-2.856,0.228,0.0731,0.0,0.351,0.457,101.277,258467
4QVOTT9CM2ftSLwnYGNDjd,0.781,0.74,-5.065,0.208,0.0375,2.27e-06,0.449,0.527,80.056,404427
0D5ER6UGojHVHVVJV0QdY8,0.424,0.866,-6.171,0.2,0.000859,0.000139,0.0869,0.426,190.276,234243
2Dts49OexROL2KvCK2sokf,0.782,0.819,-0.158,0.251,0.252,0.0,0.133,0.725,91.824,244267
2BDXDLe858hT8FL5uQsv0B,0.648,0.765,-8.718,0.226,0.0594,4.76e-06,0.179,0.721,86.854,228908
1CumTIt8Hp3nvKWmVYAR8b,0.735,0.577,-6.213,0.183,0.0979,0.0,0.259,0.182,119.609,241524
7nTnIycIqbka3B5B144hpz,0.759,0.65,-6.507,0.333,0.156,1.41e-06,0.182,0.849,92.079,256480
7fXb8yG4gCsioqzJNZOv69,0.537,0.948,-3.08,0.38,0.158,0.0,0.356,0.761,186.057,286267
5lLDk6pb6kAdqyCmA9O400,0.58,0.734,-3.57,0.287,0.22,6.54e-06,0.195,0.536,81.538,258055
0LH4xaHG3wa42I1l2RyPs4,0.489,0.829,-7.017,0.469,0.277,0.0,0.295,0.53,83.431,241827
0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,-5.946,0.269,0.143,0.0,0.0771,0.613,94.948,270507
34tbtzYSod64wOn2vIJRdV,0.765,0.875,-4.015,0.133,0.0268,0.0,0.0691,0.668,95.032,219040
5HQVUIKwCEXpe7JIHyY734,0.715,0.655,-6.425,0.137,0.0525,0.0,0.115,0.531,95.078,207333
4K0ifpgptOfb3eHHiiwjyT,0.799,0.916,-3.344,0.471,0.11,0.0,0.0746,0.697,126.687,247427
6mZcNu9i8uhOYMiEAyEx81,0.862,0.648,-7.401,0.251,0.0455,0.0,0.0332,0.637,98.012,235533
6yr8GiTHWvFfi4o6Q5ebdT,0.551,0.851,-3.277,0.197,0.0748,0.0,0.0784,0.1,171.411,297893
290dpLpc7ZTM2uxAMyiLUG,0.5,0.93,-2.309,0.277,0.049,0.0,0.0916,0.476,86.375,255327
7edhe0NGMT8WMiYuTwdY5a,0.627,0.859,-7.638,0.333,0.613,0.0,0.679,0.442,91.881,207040
6dnzxuP6pNn9JQOJQP8CZO,0.673,0.871,-5.781,0.415,0.433,0.0,0.477,0.232,89.186,579293
6oQgrY3uZramOg13ylYe82,0.685,0.63,-7.451,0.382,0.606,0.0,0.329,0.671,86.199,288667
6gBHFhq94qg4I0MnXq6KLJ,0.687,0.547,-8.895,0.348,0.335,0.0,0.087,0.566,85.608,170933
7xxbcXU3UIc8q0r6sXwCRl,0.924,0.749,-5.639,0.27,0.128,1.17e-05,0.659,0.741,112.089,232040
7u2uCDgib9tKbxwNKbCaKl,0.644,0.781,-6.572,0.347,0.356,0.0,0.374,0.96,75.832,289427
380oBkxEjQ8YUAl1CijZgo,0.535,0.964,-4.088,0.384,0.0276,0.00629,0.159,0.405,88.822,203240
5KM6uHM7JuCDl2MltBOv1N,0.632,0.936,-3.247,0.355,0.0538,0.0,0.0614,0.661,86.347,248053
